Postnummer;Postort;Kontor;Kontorsfîrkortning;Country;Kontorfrk
78067;SéLEN;BORLéNGE;BLE;Sweden;BLE
78068;TRANSTRAND;BORLéNGE;BLE;Sweden;BLE
78069;SôRSJôN;BORLéNGE;BLE;Sweden;BLE
78160;GUSTAFS;BORLéNGE;BLE;Sweden;BLE
78161;GUSTAFS;BORLéNGE;BLE;Sweden;BLE
78162;GUSTAFS;BORLéNGE;BLE;Sweden;BLE
78168;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78169;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78170;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78171;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78172;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78173;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78174;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78190;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78191;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78192;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78193;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78194;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78195;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78196;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78197;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78198;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78199;IDKERBERGET;BORLéNGE;BLE;Sweden;BLE
78230;MALUNG;BORLéNGE;BLE;Sweden;BLE
78231;MALUNG;BORLéNGE;BLE;Sweden;BLE
78233;MALUNG;BORLéNGE;BLE;Sweden;BLE
78234;MALUNG;BORLéNGE;BLE;Sweden;BLE
78235;MALUNG;BORLéNGE;BLE;Sweden;BLE
78275;MALUNGSFORS;BORLéNGE;BLE;Sweden;BLE
78290;MALUNG;BORLéNGE;BLE;Sweden;BLE
78291;MALUNG;BORLéNGE;BLE;Sweden;BLE
78330;SéTER;BORLéNGE;BLE;Sweden;BLE
78331;SéTER;BORLéNGE;BLE;Sweden;BLE
78332;SéTER;BORLéNGE;BLE;Sweden;BLE
78334;SéTER;BORLéNGE;BLE;Sweden;BLE
78335;SéTER;BORLéNGE;BLE;Sweden;BLE
78390;SéTER;BORLéNGE;BLE;Sweden;BLE
78391;SéTER;BORLéNGE;BLE;Sweden;BLE
78392;STORA SKEDVI;BORLéNGE;BLE;Sweden;BLE
78393;STORA SKEDVI;BORLéNGE;BLE;Sweden;BLE
78430;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78431;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78432;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78433;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78434;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78435;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78436;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78437;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78439;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78440;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78441;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78442;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78443;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78444;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78445;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78450;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78451;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78452;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78453;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78454;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78455;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78456;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78460;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78461;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78462;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78463;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78465;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78466;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78467;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78468;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78472;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78473;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78474;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78475;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78476;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78477;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78478;BORLéNGE;BORLéNGE;BLE;Sweden;BLE
78530;GAGNEF;BORLéNGE;BLE;Sweden;BLE
78542;MOCKFJéRD;BORLéNGE;BLE;Sweden;BLE
78543;MOCKFJéRD;BORLéNGE;BLE;Sweden;BLE
78560;DJURèS;BORLéNGE;BLE;Sweden;BLE
78561;DJURèS;BORLéNGE;BLE;Sweden;BLE
78562;DJURMO;BORLéNGE;BLE;Sweden;BLE
78563;SIFFERBO;BORLéNGE;BLE;Sweden;BLE
78591;GAGNEF;BORLéNGE;BLE;Sweden;BLE
78592;GAGNEF;BORLéNGE;BLE;Sweden;BLE
78631;VANSBRO;BORLéNGE;BLE;Sweden;BLE
78632;VANSBRO;BORLéNGE;BLE;Sweden;BLE
78633;VANSBRO;BORLéNGE;BLE;Sweden;BLE
78671;DALA-JéRNA;BORLéNGE;BLE;Sweden;BLE
78672;DALA-JéRNA;BORLéNGE;BLE;Sweden;BLE
78691;VANSBRO;BORLéNGE;BLE;Sweden;BLE
78692;DALA-JéRNA;BORLéNGE;BLE;Sweden;BLE
78693;NèS;BORLéNGE;BLE;Sweden;BLE
78694;éPPELBO;BORLéNGE;BLE;Sweden;BLE
78695;DALA-FLODA;BORLéNGE;BLE;Sweden;BLE
78697;BJôRBO;BORLéNGE;BLE;Sweden;BLE
79015;SUNDBORN;BORLéNGE;BLE;Sweden;BLE
79020;GRYCKSBO;BORLéNGE;BLE;Sweden;BLE
79021;BJURSèS;BORLéNGE;BLE;Sweden;BLE
